sourcename, date

cepa,  59618.062372685185
cepa,  59618.062372685185
g32p74,  59879.507106481484
cepa,  59865.307604166665
cepa,  59877.08876157407
g107p29,  59869.30259259259
g107p29,  59871.36474537037
g107p29,  59872.308958333335
g107p29,  59876.14755787037
g107p29,  59881.28603009259
g107p29,  59883.056597222225
g107p29,  59884.081400462965
g108p76,  59871.35267361111
g108p76,  59876.22777777778
g108p76,  59881.32462962963
g110p196,  59859.432905092595
g110p196,  59871.28459490741
g110p196,  59879.43707175926
g111p25,  59876.23768518519
g111p25,  59883.07744212963
g121p28,  59862.41648148148
g121p28,  59869.29226851852
g121p28,  59871.3153125
g121p28,  59872.294074074074
g121p28,  59876.24748842593
g121p28,  59877.099131944444
g121p28,  59879.28869212963
g121p28,  59880.346296296295
g121p28,  59881.29638888889
g121p28,  59883.088275462964
g121p28,  59884.091365740744
g124p015,  59871.30546296296
g124p015,  59879.417604166665
g137p068,  59870.376967592594
g137p068,  59879.407488425924
g13p696,  59869.611493055556
g149p076,  59870.36547453704
g149p076,  59879.39724537037
g174p201,  59870.3440625
g174p201,  59879.34085648148
g183p34,  59870.333078703705
g183p34,  59880.323645833334
g189p03,  59870.32283564815
g189p03,  59880.31141203704
g192p60,  59880.297743055555
g196p45,  59870.286516203705
g196p45,  59880.28784722222
g206p54,  59884.03622685185
g208p99,  59867.150868055556
g208p99,  59876.19472222222
g208p99,  59884.04607638889
g20p733,  59862.590844907405
g20p963,  59883.59059027778
g213p705,  59884.055925925924
g23p126,  59884.51825231482
g24p943,  59884.73773148148
g27p011,  59882.535162037035
g69p540,  59879.46030092592
g69p540,  59880.44174768519
g69p540,  59880.44174768519
g69p540,  59883.478854166664
g69p540,  59884.444085648145
g30p851,  59852.65494212963
g42p13,  59884.84662037037
g44p310,  59876.46760416667
g358p00,  59883.570081018515
g35p025,  59862.54201388889
g36p115,  59868.55118055556
g36p70,  59868.60320601852
g38p565,  59880.455462962964
g38p653,  59878.50848379629

g45p47,  59877.47311342593
g45p87,  59859.537141203706
g49p04,  59877.463472222225
g49p41,  59881.844247685185
g51p818,  59876.45768518518
g57p610,  59876.44708333333
g57p610,  59884.46409722222
g59p63,  59876.43712962963
g59p63,  59884.45391203704
g73p04,  59872.47820601852
g73p04,  59879.44934027778
g74p098,  59867.93739583333
g74p098,  59876.419444444444
g81p76,  59880.42664351852
g82p308,  59880.417025462964
g84p951,  59862.514756944445
g84p951,  59876.402141203704
g85p40,  59876.3921412037
g85p40,  59883.03607638889
g94p58,  59876.137349537035
g94p58,  59883.04622685185
g97p572,  59872.336539351854
g97p572,  59879.38512731482
hh4,  59870.30216435185
hh4,  59879.32373842593
mg108p18,  59869.27594907407
mg108p18,  59872.32027777778
mg108p18,  59879.26351851852
mg108p18,  59880.37829861111
mg108p18,  59881.308969907404
mg90p92,  59871.38570601852
mg90p92,  59876.376064814816
mg90p92,  59878.45195601852
ngc7538,  59871.32643518518
ngc7538,  59879.42748842593
